=== Regression Results ===
R² (Train): 0.2287
R² (Test): 0.0118
RMSE (Train): 4.6440
RMSE (Test): 5.2910

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_406-19     7.269530         7.269530
               onehot__route_variant_111-19     7.253909         7.253909
               onehot__route_variant_410-15     7.244301         7.244301
              onehot__route_variant_9546-11     7.244250         7.244250
               onehot__route_variant_2031-1     7.209659         7.209659
               onehot__route_variant_s073-1     7.200037         7.200037
               onehot__route_variant_674-22     7.186621         7.186621
               onehot__route_variant_202-39     7.171177         7.171177
               onehot__route_variant_l87-17     7.168632         7.168632
                onehot__route_variant_744-7     7.166376         7.166376
           onehot__route_variant_6067-16126     7.165744         7.165744
           onehot__route_variant_4510-31020     7.158918         7.158918
                onehot__route_variant_816-8     7.152584         7.152584
              onehot__route_variant_290-137     7.147216         7.147216
               onehot__route_variant_700e-1     7.133426         7.133426
              onehot__route_variant_301-104     7.123813         7.123813
               onehot__route_variant_8107-1     7.123401         7.123401
               onehot__route_variant_464-31     7.122401         7.122401
           onehot__route_variant_6563-96059     7.094729         7.094729
               onehot__route_variant_151-11     7.070864         7.070864
                onehot__route_variant_493-5     7.068179         7.068179
           onehot__route_variant_2572-20113     7.063927         7.063927
             onehot__suburb_rushcutters bay     7.060703         7.060703
               onehot__route_variant_925-18     7.060479         7.060479
               onehot__route_variant_6310-6     7.059884         7.059884
              onehot__route_variant_690k-59     7.056541         7.056541
                onehot__route_variant_173-4     7.047141         7.047141
               onehot__route_variant_x39-12     7.040557         7.040557
               onehot__route_variant_6640-8     7.035413         7.035413
               onehot__route_variant_717n-1     7.006092         7.006092
              onehot__route_variant_303-127     7.004739         7.004739
               onehot__route_variant_728w-1     6.999894         6.999894
               onehot__route_variant_e71-17     6.999300         6.999300
                onehot__route_variant_586-6     6.994978         6.994978
               onehot__route_variant_8057-1     6.980945         6.980945
               onehot__route_variant_397-66     6.973828         6.973828
                onehot__route_variant_892-7     6.969631         6.969631
                onehot__route_variant_305-6     6.955325         6.955325
           onehot__route_variant_5112-40024     6.942862         6.942862
              onehot__route_variant_740-161     6.939000         6.939000
               onehot__route_variant_576w-2     6.931974         6.931974
              onehot__route_variant_2616-20     6.914863         6.914863
               onehot__route_variant_1351-8     6.910728         6.910728
              onehot__route_variant_806-239     6.909055         6.909055
               onehot__route_variant_669n-1     6.902913         6.902913
                onehot__route_variant_968-9     6.896839         6.896839
               onehot__route_variant_464-32     6.873023         6.873023
               onehot__route_variant_940-18     6.866972         6.866972
                onehot__route_variant_784-2     6.855985         6.855985
               onehot__route_variant_372-24     6.846819         6.846819
               onehot__route_variant_197-18     6.842471         6.842471
              onehot__route_variant_l90-130     6.836631         6.836631
               onehot__route_variant_611w-1     6.834898         6.834898
                onehot__route_variant_67-85     6.830105         6.830105
                onehot__route_variant_x18-7     6.829010         6.829010
               onehot__route_variant_132-22     6.816026         6.816026
               onehot__route_variant_628-18     6.814986         6.814986
               onehot__route_variant_632s-2     6.797912         6.797912
               onehot__route_variant_851-11     6.773485         6.773485
              onehot__route_variant_3515-26     6.772632         6.772632
               onehot__route_variant_l85-45     6.768483         6.768483
               onehot__route_variant_9620-2     6.764662         6.764662
               onehot__route_variant_525-48     6.743927         6.743927
              onehot__route_variant_380-267     6.741241         6.741241
              onehot__route_variant_t60-157     6.712211         6.712211
              onehot__route_variant_8618-11     6.700450         6.700450
                    onehot__suburb_kirrawee     6.695106         6.695106
               onehot__route_variant_391-48     6.680134         6.680134
                onehot__route_variant_268-4     6.661423         6.661423
              onehot__route_variant_301-103     6.657344         6.657344
              onehot__route_variant_2472-21     6.654894         6.654894
               onehot__route_variant_tig2-2     6.643431         6.643431
              onehot__route_variant_3551-17     6.640832         6.640832
              onehot__route_variant_380-241     6.629356         6.629356
              onehot__route_variant_2600-16     6.611490         6.611490
              onehot__route_variant_745-148     6.610793         6.610793
              onehot__route_variant_754-252     6.610119         6.610119
               onehot__route_variant_5551-1     6.603200         6.603200
               onehot__route_variant_1293-4     6.603135         6.603135
               onehot__route_variant_36-142     6.601922         6.601922
               onehot__route_variant_393-15     6.589809         6.589809
              onehot__route_variant_324-104     6.584185         6.584185
               onehot__route_variant_e71-20     6.583287         6.583287
               onehot__route_variant_156-11     6.561696         6.561696
              onehot__route_variant_518-128     6.554621         6.554621
               onehot__route_variant_s302-1     6.552130         6.552130
               onehot__route_variant_444-37     6.534091         6.534091
               onehot__route_variant_775-26     6.520462         6.520462
               onehot__route_variant_799-27     6.514666         6.514666
                onehot__route_variant_870-8     6.507768         6.507768
              onehot__route_variant_510-100     6.495459         6.495459
               onehot__route_variant_138-51     6.488438         6.488438
                onehot__route_variant_694-7     6.485029         6.485029
                onehot__route_variant_586-2     6.484589         6.484589
              onehot__route_variant_2522-24     6.463749         6.463749
           onehot__route_variant_5570-22017     6.451750         6.451750
               onehot__route_variant_573s-1     6.447660         6.447660
              onehot__route_variant_422-103     6.441170         6.441170
                onehot__route_variant_sj9-2     6.438647         6.438647
             onehot__route_variant_106410-2     6.437719         6.437719
               onehot__route_variant_55-102     6.421730         6.421730
               onehot__route_variant_353-13     6.401493         6.401493
               onehot__route_variant_911-28     6.391890         6.391890
               onehot__route_variant_700s-2     6.373822         6.373822
               onehot__route_variant_m40-46     6.335262         6.335262
               onehot__route_variant_674s-3     6.329827         6.329827
               onehot__route_variant_s186-1     6.329691         6.329691
              onehot__route_variant_3172-22     6.328564         6.328564
              onehot__route_variant_685h-50     6.326273         6.326273
               onehot__route_variant_1375-5     6.298163         6.298163
               onehot__route_variant_971-12     6.291375         6.291375
               onehot__route_variant_2324-6     6.280291         6.280291
           onehot__route_variant_6563-96047     6.271332         6.271332
               onehot__route_variant_524-26     6.268658         6.268658
               onehot__route_variant_670n-2     6.261321         6.261321
                onehot__route_variant_794-4     6.256456         6.256456
               onehot__route_variant_458-30     6.256085         6.256085
               onehot__route_variant_t70-81     6.220951         6.220951
              onehot__route_variant_2503-15     6.211109         6.211109
               onehot__route_variant_2530-6     6.210363         6.210363
               onehot__route_variant_746e-3     6.203445         6.203445
               onehot__route_variant_891-10     6.200629         6.200629
           onehot__route_variant_2520-40158     6.188053         6.188053
               onehot__route_variant_544-57     6.183578         6.183578
               onehot__route_variant_osh6-2     6.176273         6.176273
                onehot__route_variant_853-8     6.174521         6.174521
                onehot__route_variant_849-4     6.168842         6.168842
               onehot__route_variant_mbp2-2     6.160322         6.160322
                onehot__route_variant_179-2     6.154638         6.154638
               onehot__route_variant_771-16     6.152613         6.152613
               onehot__route_variant_776-43     6.152092         6.152092
                 onehot__route_variant_76-9     6.151259         6.151259
               onehot__route_variant_s253-2     6.120474         6.120474
                onehot__route_variant_n61-8     6.113997         6.113997
                onehot__route_variant_l28-8     6.108814         6.108814
               onehot__route_variant_whs6-1     6.096921         6.096921
               onehot__route_variant_444-43     6.095694         6.095694
              onehot__route_variant_506-113     6.084543         6.084543
               onehot__route_variant_187-10     6.069302         6.069302
              onehot__route_variant_6340-10     6.063855         6.063855
                 onehot__route_variant_40-9     6.056392         6.056392
               onehot__route_variant_611n-1     6.048818         6.048818
               onehot__route_variant_169-12     6.041478         6.041478
               onehot__route_variant_t70-79     6.039313         6.039313
               onehot__route_variant_l39-15     6.039212         6.039212
                 onehot__route_variant_49-4     6.018784         6.018784
                onehot__route_variant_887-4     6.014504         6.014504
               onehot__route_variant_8118-1     5.996327         5.996327
               onehot__route_variant_726-80     5.977147         5.977147
               onehot__route_variant_701n-2     5.966790         5.966790
                     onehot__suburb_arcadia     5.962572         5.962572
               onehot__route_variant_252-57     5.947773         5.947773
               onehot__route_variant_667e-9     5.940957         5.940957
               onehot__route_variant_8230-4     5.940635         5.940635
               onehot__route_variant_9567-5     5.933643         5.933643
               onehot__route_variant_740n-1     5.921627         5.921627
               onehot__route_variant_464-29     5.916456         5.916456
               onehot__route_variant_592w-1     5.916112         5.916112
              onehot__route_variant_632-335     5.915644         5.915644
                onehot__route_variant_768-5     5.914138         5.914138
                onehot__route_variant_x03-8     5.913847         5.913847
              onehot__route_variant_1446-10     5.908255         5.908255
                 onehot__route_variant_57-5     5.903386         5.903386
               onehot__route_variant_977-16     5.895729         5.895729
                  onehot__suburb_cecil park     5.894474         5.894474
               onehot__route_variant_680e-5     5.891077         5.891077
               onehot__route_variant_2245-8     5.885911         5.885911
              onehot__route_variant_690p-77     5.885869         5.885869
                onehot__route_variant_850-6     5.872178         5.872178
               onehot__route_variant_723n-1     5.860598         5.860598
                onehot__route_variant_971-2     5.859522         5.859522
               onehot__route_variant_257-32     5.853655         5.853655
               onehot__route_variant_698-41     5.848075         5.848075
               onehot__route_variant_197-20     5.843035         5.843035
                onehot__route_variant_926-2     5.825083         5.825083
               onehot__route_variant_9051-1     5.809682         5.809682
               onehot__route_variant_s688-2     5.776541         5.776541
               onehot__route_variant_s291-1     5.768560         5.768560
               onehot__route_variant_m52-22     5.760473         5.760473
               onehot__route_variant_sac3-2     5.754470         5.754470
               onehot__route_variant_418-21     5.747146         5.747146
               onehot__route_variant_183-16     5.745705         5.745705
               onehot__route_variant_5538-1     5.736604         5.736604
              onehot__route_variant_8504-12     5.731080         5.731080
               onehot__route_variant_691-27     5.711639         5.711639
               onehot__route_variant_785-18     5.710674         5.710674
               onehot__route_variant_704e-1     5.707626         5.707626
               onehot__route_variant_705e-1     5.706983         5.706983
               onehot__route_variant_2046-1     5.699093         5.699093
               onehot__route_variant_227-20     5.698197         5.698197
               onehot__route_variant_690n-1     5.692092         5.692092
               onehot__route_variant_978-21     5.683234         5.683234
              onehot__route_variant_380-103     5.681972         5.681972
               onehot__route_variant_877-12     5.681171         5.681171
              onehot__route_variant_380-264     5.670979         5.670979
               onehot__route_variant_993-11     5.667793         5.667793
               onehot__route_variant_667n-2     5.664494         5.664494
               onehot__route_variant_302-31     5.630335         5.630335
