=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                transit_stop_2750233     0.055704         0.055704
                route_variant_492-34    -0.055697         0.055697
                 transit_stop_222497     0.055613         0.055613
                 transit_stop_204716     0.055519         0.055519
                route_variant_e66-11     0.055504         0.055504
                  suburb_potts point     0.055390         0.055390
                 transit_stop_201112     0.055390         0.055390
                           route_525     0.055376         0.055376
                 transit_stop_200042    -0.055373         0.055373
                route_variant_257-40     0.055373         0.055373
                 route_variant_197-4     0.055364         0.055364
                 transit_stop_204719    -0.055225         0.055225
                route_variant_291-19     0.055089         0.055089
                    suburb_five dock     0.055054         0.055054
                transit_stop_2076150     0.054951         0.054951
               route_variant_616x-97    -0.054950         0.054950
                 transit_stop_276835    -0.054950         0.054950
                            route_7b    -0.054948         0.054948
                 transit_stop_232184    -0.054948         0.054948
                  route_variant_7b-1    -0.054948         0.054948
                 transit_stop_207167     0.054768         0.054768
                route_variant_674w-1     0.054656         0.054656
                          route_674w     0.054656         0.054656
                 transit_stop_203086    -0.054639         0.054639
                 transit_stop_206962     0.054513         0.054513
                transit_stop_2135183     0.054286         0.054286
                route_variant_576s-2     0.054271         0.054271
                          route_576s     0.054271         0.054271
                transit_stop_2031115    -0.054119         0.054119
                transit_stop_2031128     0.054007         0.054007
            transit_stop_sequence_55     0.053972         0.053972
                 transit_stop_205016    -0.053956         0.053956
                 transit_stop_215322    -0.053922         0.053922
                 transit_stop_201711     0.053888         0.053888
                 transit_stop_228795     0.053784         0.053784
                          route_617x    -0.053762         0.053762
                    suburb_ingleside     0.053684         0.053684
                 transit_stop_200074    -0.053479         0.053479
                 route_variant_565-5     0.053324         0.053324
                     suburb_glenwood    -0.053318         0.053318
                route_variant_697-19    -0.053041         0.053041
                 transit_stop_212256     0.053039         0.053039
                 route_variant_360-4     0.052932         0.052932
                 transit_stop_232661    -0.052881         0.052881
                     suburb_abermain    -0.052881         0.052881
                 transit_stop_217094     0.052752         0.052752
                route_variant_526-20     0.052727         0.052727
                 transit_stop_214017     0.052727         0.052727
                    suburb_fairlight     0.052538         0.052538
                 transit_stop_216622    -0.052482         0.052482
                 transit_stop_201892     0.052456         0.052456
                  suburb_dolls point     0.052427         0.052427
                 transit_stop_214018     0.052389         0.052389
                 transit_stop_202431    -0.052379         0.052379
                transit_stop_2088180     0.052062         0.052062
                 transit_stop_200912    -0.051989         0.051989
                route_variant_410-16     0.051930         0.051930
                 transit_stop_205039    -0.051831         0.051831
                 transit_stop_204913     0.051830         0.051830
                 transit_stop_201744    -0.051488         0.051488
                transit_stop_2000421    -0.051277         0.051277
                route_variant_426-39    -0.051224         0.051224
                 transit_stop_204437     0.051163         0.051163
                           route_610    -0.051093         0.051093
                 transit_stop_200071    -0.051027         0.051027
                route_variant_520-78    -0.051010         0.051010
               route_variant_610-377    -0.050956         0.050956
                transit_stop_2527124     0.050892         0.050892
                transit_stop_2217151     0.050864         0.050864
                 transit_stop_219637     0.050846         0.050846
                    suburb_blacktown    -0.050762         0.050762
                 transit_stop_211234     0.050417         0.050417
                 transit_stop_210034     0.050337         0.050337
                transit_stop_2206110     0.050291         0.050291
                transit_stop_2046105    -0.050275         0.050275
                 transit_stop_203251     0.050268         0.050268
                 route_variant_280-8    -0.050120         0.050120
                transit_stop_2560396     0.050018         0.050018
                 transit_stop_211396    -0.049993         0.049993
                 transit_stop_206967     0.049884         0.049884
                 transit_stop_215136     0.049868         0.049868
                 transit_stop_250276    -0.049829         0.049829
                 transit_stop_221154     0.049760         0.049760
                transit_stop_2153304    -0.049523         0.049523
               route_variant_806-238     0.049420         0.049420
               route_variant_438-103    -0.049340         0.049340
                 transit_stop_213262    -0.049279         0.049279
                 transit_stop_200049    -0.049256         0.049256
                route_variant_619-95    -0.049211         0.049211
                          route_620x     0.049197         0.049197
                transit_stop_2750439    -0.049157         0.049157
               route_variant_615x-95    -0.049118         0.049118
                          route_615x    -0.049118         0.049118
                 transit_stop_219373     0.048886         0.048886
            transit_stop_sequence_49    -0.048863         0.048863
                route_variant_492-36    -0.048854         0.048854
                 transit_stop_202135     0.048782         0.048782
                 transit_stop_203055     0.048762         0.048762
                 transit_stop_210118     0.048698         0.048698
                 transit_stop_202448     0.048515         0.048515
                 transit_stop_207360     0.048482         0.048482
                transit_stop_2500330     0.048412         0.048412
                 transit_stop_213447    -0.048362         0.048362
                 transit_stop_211317     0.048340         0.048340
                 transit_stop_203311    -0.048290         0.048290
                 transit_stop_211312    -0.048170         0.048170
                 transit_stop_215592     0.048152         0.048152
                           route_492     0.048076         0.048076
                           route_412    -0.047986         0.047986
                 transit_stop_204231    -0.047838         0.047838
            transit_stop_sequence_38     0.047773         0.047773
                 transit_stop_204139    -0.047762         0.047762
                route_variant_l85-40    -0.047718         0.047718
                 transit_stop_251821     0.047713         0.047713
                 transit_stop_203471    -0.047697         0.047697
                          route_610x    -0.047673         0.047673
                 transit_stop_201843    -0.047462         0.047462
                   depot_hoxton park    -0.047449         0.047449
                transit_stop_2000183    -0.047424         0.047424
               route_variant_309-103     0.047422         0.047422
                route_variant_309-97    -0.047382         0.047382
                 transit_stop_221618     0.047323         0.047323
                transit_stop_2036187     0.047129         0.047129
                 transit_stop_203524     0.047113         0.047113
                 transit_stop_203683     0.047051         0.047051
               route_variant_619-103    -0.046991         0.046991
                route_variant_380-92    -0.046948         0.046948
                 transit_stop_210362    -0.046859         0.046859
                 transit_stop_200079    -0.046831         0.046831
               route_variant_600-183    -0.046820         0.046820
                 transit_stop_210218     0.046775         0.046775
                 transit_stop_202633    -0.046764         0.046764
                route_variant_622-52    -0.046749         0.046749
                route_variant_440-88    -0.046740         0.046740
                route_variant_156-16     0.046729         0.046729
                 transit_stop_210517     0.046729         0.046729
                 transit_stop_204048     0.046693         0.046693
               route_variant_380-253     0.046674         0.046674
                 transit_stop_204746     0.046623         0.046623
            transit_stop_sequence_70     0.046612         0.046612
                 route_variant_473-5    -0.046571         0.046571
                route_variant_287-16    -0.046564         0.046564
                route_variant_333-30    -0.046555         0.046555
                   suburb_warriewood     0.046536         0.046536
                transit_stop_2153192     0.046484         0.046484
                route_variant_423-75     0.046473         0.046473
                 transit_stop_220625     0.046473         0.046473
                           route_622    -0.046430         0.046430
                transit_stop_2000230    -0.046378         0.046378
                 transit_stop_211535     0.046345         0.046345
                route_variant_428-56    -0.046337         0.046337
                 transit_stop_220563    -0.046319         0.046319
                          route_wpsb    -0.046270         0.046270
                route_variant_wpsb-2    -0.046270         0.046270
                transit_stop_2290478     0.046186         0.046186
               route_variant_303-126    -0.046171         0.046171
                           route_e78     0.046120         0.046120
                 transit_stop_205020     0.046062         0.046062
               route_variant_617x-89    -0.045867         0.045867
                route_variant_911-26     0.045866         0.045866
                 transit_stop_219852     0.045866         0.045866
                transit_stop_2216125    -0.045827         0.045827
                 transit_stop_221789     0.045710         0.045710
                route_variant_958-27     0.045710         0.045710
                 transit_stop_200045    -0.045546         0.045546
                 route_variant_e78-5     0.045517         0.045517
                 transit_stop_275338     0.045514         0.045514
                 transit_stop_215584    -0.045500         0.045500
                 transit_stop_213854     0.045484         0.045484
                 transit_stop_211342    -0.045467         0.045467
                transit_stop_2145618     0.045424         0.045424
                route_variant_423-74    -0.045405         0.045405
                transit_stop_2156175     0.045347         0.045347
              route_variant_610x-439    -0.045062         0.045062
               route_variant_440-127     0.044982         0.044982
                 transit_stop_207354     0.044968         0.044968
                route_variant_399-49     0.044795         0.044795
                transit_stop_2144235     0.044788         0.044788
                transit_stop_2190117     0.044786         0.044786
                 transit_stop_210222     0.044782         0.044782
                 transit_stop_210523     0.044736         0.044736
                 transit_stop_202260     0.044729         0.044729
