=== Regression Results ===
R² (Train): 0.0829
R² (Test): 0.0542
RMSE (Train): 5.0642
RMSE (Test): 5.1763

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_852-23     0.544389         0.544389
               onehot__suburb_south penrith     0.544306         0.544306
              onehot__route_variant_754-205     0.544241         0.544241
                onehot__route_variant_945-1     0.543619         0.543619
                    onehot__suburb_davidson     0.542590         0.542590
               onehot__route_variant_t70-74     0.539095         0.539095
               onehot__route_variant_545-88     0.536951         0.536951
               onehot__route_variant_e89-25     0.535403         0.535403
                onehot__route_variant_352-9     0.531783         0.531783
               onehot__route_variant_576s-2     0.531734         0.531734
                    onehot__suburb_stanmore     0.531267         0.531267
                    onehot__suburb_waterloo     0.530944         0.530944
                  onehot__suburb_leichhardt     0.530617         0.530617
               onehot__route_variant_t74-34     0.529223         0.529223
                onehot__route_variant_e78-5     0.526257         0.526257
               onehot__route_variant_151-14     0.524829         0.524829
              onehot__route_variant_603-333     0.524772         0.524772
                   onehot__suburb_rydalmere     0.520505         0.520505
                onehot__route_variant_175-4     0.519616         0.519616
              onehot__route_variant_380-250     0.516995         0.516995
              onehot__route_variant_301-100     0.516288         0.516288
                onehot__route_variant_450-2     0.516263         0.516263
               onehot__route_variant_x94-14     0.514695         0.514695
                onehot__route_variant_395-3     0.512607         0.512607
               onehot__route_variant_785-18     0.512055         0.512055
               onehot__route_variant_343-64     0.508841         0.508841
               onehot__route_variant_969-21     0.508172         0.508172
                onehot__route_variant_942-8     0.507405         0.507405
               onehot__route_variant_399-79     0.506824         0.506824
               onehot__route_variant_692w-2     0.506037         0.506037
              onehot__route_variant_802-374     0.505389         0.505389
               onehot__route_variant_415-54     0.504876         0.504876
                     onehot__suburb_st ives     0.503535         0.503535
                 onehot__suburb_surry hills     0.502564         0.502564
               onehot__route_variant_615s-1     0.501226         0.501226
              onehot__route_variant_380-252     0.500889         0.500889
                onehot__route_variant_381-9     0.500382         0.500382
               onehot__route_variant_343-78     0.499746         0.499746
               onehot__route_variant_333-30     0.499715         0.499715
                onehot__route_variant_68-90     0.499570         0.499570
               onehot__route_variant_m41-23     0.498528         0.498528
             onehot__suburb_roseville chase     0.497973         0.497973
                onehot__route_variant_941-4     0.497616         0.497616
                onehot__suburb_beaconsfield     0.497028         0.497028
                  onehot__suburb_cranebrook     0.496215         0.496215
                    onehot__suburb_plumpton     0.493642         0.493642
              onehot__route_variant_603-326     0.492955         0.492955
               onehot__route_variant_525-38     0.492950         0.492950
                    onehot__suburb_waverley     0.492810         0.492810
                      onehot__suburb_casula     0.492089         0.492089
              onehot__route_variant_507-150     0.488105         0.488105
              onehot__route_variant_438-114     0.487111         0.487111
                onehot__route_variant_m50-3     0.486862         0.486862
                 onehot__suburb_neutral bay     0.486770         0.486770
              onehot__route_variant_t75-226     0.485980         0.485980
               onehot__route_variant_355-24     0.482797         0.482797
              onehot__route_variant_621-356     0.482705         0.482705
                  onehot__suburb_camperdown     0.481202         0.481202
               onehot__route_variant_x73-11     0.480565         0.480565
                onehot__route_variant_143-9     0.479822         0.479822
                onehot__route_variant_386-8     0.477000         0.477000
               onehot__route_variant_373-79     0.472319         0.472319
                  onehot__suburb_thornleigh     0.471947         0.471947
               onehot__route_variant_270-31     0.470233         0.470233
              onehot__route_variant_630-160     0.469194         0.469194
               onehot__route_variant_436-66     0.469041         0.469041
              onehot__route_variant_754-206     0.466263         0.466263
              onehot__suburb_lane cove west     0.466026         0.466026
                onehot__route_variant_479-7     0.464690         0.464690
               onehot__route_variant_628-18     0.464293         0.464293
                onehot__suburb_currans hill     0.464154         0.464154
               onehot__route_variant_185-19     0.462323         0.462323
              onehot__suburb_north st marys     0.460859         0.460859
                onehot__route_variant_783-8     0.459971         0.459971
                onehot__route_variant_139-9     0.459081         0.459081
               onehot__route_variant_m40-27     0.454771         0.454771
               onehot__route_variant_888-19     0.454723         0.454723
               onehot__route_variant_sj11-1     0.453218         0.453218
               onehot__route_variant_m10-21     0.452653         0.452653
               onehot__route_variant_322-21     0.452098         0.452098
               onehot__route_variant_130-19     0.451812         0.451812
              onehot__route_variant_303-134     0.450814         0.450814
               onehot__suburb_st clair 2759     0.450796         0.450796
                onehot__route_variant_55a-1     0.449977         0.449977
               onehot__route_variant_534-43     0.449191         0.449191
                     onehot__suburb_burwood     0.447235         0.447235
                onehot__route_variant_352-3     0.447004         0.447004
               onehot__route_variant_470-57     0.446911         0.446911
               onehot__route_variant_ict6-2     0.445634         0.445634
               onehot__route_variant_444-43     0.445487         0.445487
                       onehot__suburb_clyde     0.444040         0.444040
               onehot__route_variant_m20-36     0.443931         0.443931
               onehot__route_variant_m20-17     0.442610         0.442610
              onehot__route_variant_607x-58     0.442178         0.442178
              onehot__route_variant_380-266     0.440506         0.440506
              onehot__route_variant_757-192     0.438450         0.438450
                 onehot__suburb_glendenning     0.437864         0.437864
              onehot__route_variant_303-127     0.437350         0.437350
               onehot__route_variant_l39-19     0.436442         0.436442
               onehot__route_variant_750-62     0.434965         0.434965
               onehot__route_variant_911-28     0.433615         0.433615
           onehot__suburb_strathfield south     0.433313         0.433313
               onehot__route_variant_797-11     0.432778         0.432778
                onehot__route_variant_906-8     0.432354         0.432354
                      onehot__suburb_ultimo     0.431592         0.431592
                  onehot__suburb_crows nest     0.430727         0.430727
           onehot__route_variant_6526-11119     0.429059         0.429059
               onehot__route_variant_302-26     0.427315         0.427315
               onehot__route_variant_406-19     0.427205         0.427205
               onehot__route_variant_257-33     0.427199         0.427199
            onehot__route_variant_6042-8109     0.426584         0.426584
                onehot__route_variant_571-6     0.424885         0.424885
                onehot__route_variant_x77-9     0.424733         0.424733
               onehot__route_variant_ccc1-2     0.424094         0.424094
                     onehot__suburb_colyton     0.423346         0.423346
           onehot__route_variant_2563-17048     0.421848         0.421848
                onehot__route_variant_281-5     0.420994         0.420994
              onehot__route_variant_745-162     0.420912         0.420912
               onehot__route_variant_854-12     0.420821         0.420821
                   onehot__suburb_arncliffe     0.419908         0.419908
               onehot__route_variant_620e-2     0.418990         0.418990
               onehot__route_variant_895-17     0.417804         0.417804
               onehot__route_variant_151-22     0.415967         0.415967
                 onehot__suburb_west hoxton     0.415642         0.415642
               onehot__route_variant_m41-24     0.415586         0.415586
               onehot__route_variant_750-44     0.414979         0.414979
                     onehot__suburb_zetland     0.413684         0.413684
               onehot__route_variant_e88-42     0.413504         0.413504
                    onehot__suburb_rose bay     0.411827         0.411827
                       onehot__suburb_menai     0.410935         0.410935
              onehot__route_variant_t75-227     0.410667         0.410667
                      onehot__suburb_epping     0.410296         0.410296
              onehot__route_variant_604-118     0.410054         0.410054
                onehot__suburb_darlinghurst     0.409519         0.409519
               onehot__route_variant_292-94     0.409513         0.409513
              onehot__route_variant_805-264     0.408126         0.408126
              onehot__route_variant_802-371     0.408073         0.408073
                onehot__route_variant_x03-7     0.406115         0.406115
                  onehot__suburb_la perouse     0.405941         0.405941
               onehot__route_variant_907-27     0.404956         0.404956
               onehot__route_variant_392-92     0.404905         0.404905
              onehot__suburb_huntleys point     0.403496         0.403496
                onehot__route_variant_256-8     0.403341         0.403341
               onehot__route_variant_e66-11     0.401686         0.401686
              onehot__route_variant_288-118     0.401274         0.401274
               onehot__route_variant_686-63     0.401223         0.401223
                onehot__suburb_north sydney     0.400976         0.400976
                    onehot__suburb_prestons     0.399622         0.399622
                onehot__route_variant_151-8     0.399187         0.399187
              onehot__suburb_riverview 2066     0.398875         0.398875
               onehot__route_variant_cch4-2     0.397719         0.397719
               onehot__route_variant_654s-1     0.397025         0.397025
               onehot__route_variant_301-99     0.396364         0.396364
               onehot__route_variant_856-21     0.396351         0.396351
               onehot__route_variant_226-21     0.396109         0.396109
               onehot__route_variant_505-17     0.395951         0.395951
                 onehot__suburb_watsons bay     0.395483         0.395483
               onehot__route_variant_179-21     0.394720         0.394720
               onehot__route_variant_183-16     0.392660         0.392660
             onehot__suburb_wentworth point     0.392157         0.392157
